Rk,Player,School,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Player-additional
1,Joshua Karty,Stanford,Pac-12,12,24,25,96.0,18,18,100.0,78,joshua-karty-1
2,Christopher Dunn*,North Carolina State,ACC,13,30,30,100.0,28,29,96.6,114,christopher-dunn-1
3,Tanner Brown*,Oklahoma State,Big 12,12,42,42,100.0,22,23,95.7,108,tanner-brown-1
4,Briggs Bourgeois*,Southern Mississippi,Sun Belt,13,36,37,97.3,18,19,94.7,90,briggs-bourgeois-1
5,Daniel Gutierrez,UNLV,MWC,12,34,34,100.0,18,19,94.7,88,daniel-gutierrez-1
6,Diego Guajardo*,South Alabama,Sun Belt,13,46,48,95.8,18,19,94.7,100,diego-guajardo-1
7,Dominic Zvada,Arkansas State,Sun Belt,12,30,31,96.8,17,18,94.4,81,dominic-zvada-1
8,Casey Legg,West Virginia,Big 12,12,37,39,94.9,14,15,93.3,79,casey-legg-1
9,Colton Boomer*,UCF,American,12,42,43,97.7,14,15,93.3,84,colton-boomer-1
10,Camden Price,Temple,American,8,18,19,94.7,13,14,92.9,57,camden-price-1
11,Gavin Stewart,Georgia Tech,ACC,10,13,14,92.9,12,13,92.3,49,gavin-stewart-1
12,Gavin Baechle,UTEP,CUSA,12,31,31,100.0,22,24,91.7,97,gavin-baechle-1
13,James Turner*,Louisville,ACC,13,38,39,97.4,20,22,90.9,98,james-turner-2
14,Alex Raynor*,Georgia Southern,Sun Belt,13,49,50,98.0,18,20,90.0,103,alex-raynor-1
15,Brooks Buce*,Troy,Sun Belt,14,41,42,97.6,17,19,89.5,92,brooks-buce-2
16,Griffin Kell*,TCU,Big 12,14,62,64,96.9,17,19,89.5,113,griffin-kell-1
17,Drew Stevens*,Iowa,Big Ten,13,24,24,100.0,16,18,88.9,72,drew-stevens-2
18,Jonathan Cruz*,Ole Miss,SEC,13,48,49,98.0,15,17,88.2,93,jonathan-cruz-1
19,John Hoyland*,Wyoming,MWC,13,28,28,100.0,22,25,88.0,94,john-hoyland-1
20,Chris Howard*,Memphis,American,13,50,52,96.2,21,24,87.5,113,chris-howard-5
21,Camden Lewis*,Oregon,Pac-12,13,64,64,100.0,14,16,87.5,106,camden-lewis-1
22,Seth Keller,Texas State,Sun Belt,12,28,28,100.0,14,16,87.5,70,seth-keller-1
23,Peyton Henry*,Washington,Pac-12,13,58,59,98.3,19,22,86.4,115,peyton-henry-1
24,Alex McNulty*,Buffalo,MAC,13,41,42,97.6,24,28,85.7,113,alex-mcnulty-1
25,Ethan Mooney*,North Texas,CUSA,14,54,55,98.2,18,21,85.7,108,ethan-mooney-1
26,Tyler Loop,Arizona,Pac-12,12,38,38,100.0,18,21,85.7,92,tyler-loop-1
27,Matthew Dennis*,Wake Forest,ACC,13,57,58,98.3,12,14,85.7,93,matthew-dennis-1
28,Jonah Dalmas*,Boise State,MWC,14,48,48,100.0,23,27,85.2,117,jonah-dalmas-1
29,Andres Borregales,Miami (FL),ACC,12,32,32,100.0,17,20,85.0,83,andres-borregales-1
30,Noah Ruggles*,Ohio State,Big Ten,13,74,75,98.7,17,20,85.0,125,noah-ruggles-1
31,Will Reichard*,Alabama,SEC,13,64,64,100.0,22,26,84.6,130,will-reichard-1
32,Cole Becker,Colorado,Pac-12,12,20,21,95.2,11,13,84.6,53,cole-becker-2
33,Zeke Rankin*,Middle Tennessee State,CUSA,13,45,45,100.0,16,19,84.2,93,zeke-rankin-1
34,Trey Wolff*,Texas Tech,Big 12,13,41,42,97.6,21,25,84.0,104,trey-wolff-1
35,Jack Podlesny*,Georgia,SEC,15,73,74,98.6,26,31,83.9,151,jack-podlesny-1
36,Ben Sauls*,Pitt,ACC,13,47,47,100.0,20,24,83.3,107,ben-sauls-1
37,Matthew Trickett*,Minnesota,Big Ten,13,46,46,100.0,15,18,83.3,91,matthew-trickett-1
38,Brandon Talton,Nevada,MWC,7,15,15,100.0,10,12,83.3,45,brandon-talton-1
39,Jake Moody*,Michigan,Big Ten,14,60,60,100.0,29,35,82.9,147,jake-moody-1
40,Chad Ryland*,Maryland,Big Ten,13,39,40,97.5,19,23,82.6,96,chad-ryland-1
41,Ryan Coe*,Cincinnati,American,12,44,44,100.0,19,23,82.6,101,ryan-coe-1
42,Jesus Gomez*,Eastern Michigan,MAC,13,47,47,100.0,14,17,82.4,89,jesus-gomez-1
43,Jared Sackett*,UTSA,CUSA,14,59,59,100.0,22,27,81.5,125,jared-sackett-2
44,Nathanial Vakos*,Ohio,MAC,14,49,50,98.0,22,27,81.5,115,nathanial-vakos-1
45,Cam Little*,Arkansas,SEC,13,50,50,100.0,13,16,81.3,89,cam-little-1
46,Ben VonGunten,Ball State,MAC,12,28,29,96.6,17,21,81.0,79,ben-vongunten-1
47,Zack Long,Tulsa,American,12,44,45,97.8,17,21,81.0,95,zack-long-1
48,Bert Auburn*,Texas,Big 12,13,55,55,100.0,21,26,80.8,118,bert-auburn-1
49,Jack Browning*,San Diego State,MWC,13,30,30,100.0,20,25,80.0,90,jack-browning-1
50,Chase McGrath*,Tennessee,SEC,13,70,72,97.2,16,20,80.0,118,chase-mcgrath-1
51,Collin Rogers*,SMU,American,13,58,58,100.0,16,20,80.0,106,collin-rogers-1
52,Matthew Shipley,Hawaii,MWC,13,27,28,96.4,16,20,80.0,75,matthew-shipley-1
53,Harrison Mevis*,Missouri,SEC,13,33,33,100.0,22,28,78.6,99,harrison-mevis-1
54,Carter Brown,Arizona State,Pac-12,12,33,33,100.0,11,14,78.6,66,carter-brown-1
55,Dean Janikowski*,Washington State,Pac-12,12,40,41,97.6,11,14,78.6,73,dean-janikowski-1
56,Michael Hayes,Georgia State,Sun Belt,12,41,42,97.6,11,14,78.6,74,michael-hayes-4
57,Nate Van Zelst*,Wisconsin,Big Ten,11,35,35,100.0,11,14,78.6,68,nate-van-zelst-1
58,John Richardson,Northern Illinois,MAC,12,31,31,100.0,18,23,78.3,85,john-richardson-1
59,Kenneth Almendares*,Louisiana,Sun Belt,9,23,24,95.8,18,23,78.3,77,kenneth-almendares-1
60,Graham Nicholson*,Miami (OH),MAC,13,26,27,96.3,17,22,77.3,77,graham-nicholson-1
61,Andre Szmyt*,Syracuse,ACC,13,40,40,100.0,20,26,76.9,100,andre-szmyt-1
62,B.T. Potter*,Clemson,ACC,14,49,49,100.0,20,26,76.9,109,bt-potter-1
63,Ethan Sanchez,Old Dominion,Sun Belt,11,28,28,100.0,10,13,76.9,58,ethan-sanchez-1
64,Michael Boyle,Colorado State,MWC,9,12,12,100.0,10,13,76.9,42,michael-boyle-2
65,Randy Bond,Texas A&M,SEC,10,25,25,100.0,13,17,76.5,64,randy-bond-1
66,Thomas Cluckey*,Toledo,MAC,14,52,52,100.0,13,17,76.5,91,thomas-cluckey-1
67,Matthew Dapore*,Air Force,MWC,13,37,38,97.4,16,21,76.2,85,matthew-dapore-1
68,Mitchell Fineran*,Purdue,Big Ten,14,41,44,93.2,18,24,75.0,95,mitchell-fineran-1
69,Christian VanSickle*,Rice,CUSA,13,38,38,100.0,12,16,75.0,74,christian-vansickle-1
70,Jake Pinegar*,Penn State,Big Ten,13,57,59,96.6,12,16,75.0,93,jake-pinegar-1
71,Noe Ruelas*,Connecticut,Ind,13,28,28,100.0,12,16,75.0,64,noe-ruelas-1
72,Michael Hughes,Appalachian State,Sun Belt,12,50,50,100.0,9,12,75.0,77,michael-hughes-3
73,Timmy Bleekrode,Nebraska,Big Ten,12,34,35,97.1,9,12,75.0,61,timmy-bleekrode-1
74,Blake Grupe*,Notre Dame,Ind,13,49,49,100.0,14,19,73.7,91,blake-grupe-1
75,Caleb Griffin*,Illinois,Big Ten,11,32,32,100.0,14,19,73.7,74,caleb-griffin-1
76,Matthew Quinn*,UAB,CUSA,13,45,45,100.0,14,19,73.7,87,matthew-quinn-2
77,Cameron Carson,Massachusetts,Ind,12,13,13,100.0,13,18,72.2,52,cameron-carson-1
78,Jacob Barnes,Louisiana Tech,CUSA,12,38,39,97.4,13,18,72.2,77,jacob-barnes-1
79,Brayden Narveson*,Western Kentucky,CUSA,13,59,59,100.0,15,21,71.4,104,brayden-narveson-1
80,Nicholas Barr-Mira*,UCLA,Pac-12,13,61,61,100.0,15,21,71.4,106,nicholas-barr-mira-1
81,Noah Burnette*,North Carolina,ACC,14,57,58,98.3,15,21,71.4,102,noah-burnette-1
82,Damian Ramos*,LSU,SEC,14,55,57,96.5,10,14,71.4,85,damian-ramos-1
83,Luke Drzewiecki,New Mexico,MWC,8,6,6,100.0,10,14,71.4,36,luke-drzewiecki-1
84,Anders Carlson,Auburn,SEC,9,22,22,100.0,12,17,70.6,58,anders-carlson-1
85,Connor Coles*,Utah State,MWC,12,33,33,100.0,12,17,70.6,69,connor-coles-1
86,Charles Campbell,Indiana,Big Ten,12,27,27,100.0,14,20,70.0,69,charles-campbell-3
87,Will Bettridge,Virginia,ACC,7,12,14,85.7,7,10,70.0,33,will-bettridge-1
88,Morgan Suarez,Florida Atlantic,CUSA,10,38,38,100.0,9,13,69.2,65,morgan-suarez-1
89,Spencer Shrader,South Florida,American,12,37,37,100.0,9,13,69.2,64,spencer-shrader-1
90,Camden Wise,James Madison,Sun Belt,11,50,52,96.2,11,16,68.8,83,camden-wise-1
91,Mason Lawler*,Bowling Green State,MAC,13,34,34,100.0,11,16,68.8,67,mason-lawler-1
92,Palmer Domschke,Western Michigan,MAC,12,21,22,95.5,13,19,68.4,60,palmer-domschke-1
93,Denis Lynch*,USC,Pac-12,14,74,74,100.0,15,22,68.2,119,denis-lynch-1
94,Matt Ruffolo*,Kentucky,SEC,12,25,27,92.6,16,24,66.7,73,matt-ruffolo-1
95,Adam Mihalek*,Florida,SEC,13,42,43,97.7,14,21,66.7,84,adam-mihalek-1
96,Jude McAtamney,Rutgers,Big Ten,12,23,24,95.8,12,18,66.7,59,jude-mcatamney-1
97,Taren Schive*,San Jose State,MWC,12,37,40,92.5,12,18,66.7,73,taren-schive-1
98,Zach Schmit*,Oklahoma,Big 12,13,53,53,100.0,12,18,66.7,89,zach-schmit-1
99,Andrew Glass,Kent State,MAC,12,31,31,100.0,17,26,65.4,82,andrew-glass-1
100,Rece Verhoff*,Marshall,Sun Belt,13,33,35,94.3,13,20,65.0,72,rece-verhoff-1
101,Dario Longhetto,California,Pac-12,12,31,32,96.9,11,17,64.7,64,dario-longhetto-1
102,Bubba Baxa*,Houston,American,12,17,18,94.4,9,14,64.3,44,bubba-baxa-1
103,Chris Tennant*,Kansas State,Big 12,7,23,25,92.0,9,14,64.3,50,chris-tennant-1
104,Jake Oldroyd*,Brigham Young,Ind,13,45,45,100.0,9,14,64.3,72,jake-oldroyd-1
105,Abraham Montano*,Fresno State,MWC,12,34,35,97.1,12,19,63.2,70,abraham-montano-1
106,Daniel Davies,Navy,American,12,19,19,100.0,10,16,62.5,49,daniel-davies-1
107,Jace Gilbert,Iowa State,Big 12,12,21,22,95.5,12,20,60.0,57,jace-gilbert-1
108,Ryan Fitzgerald*,Florida State,ACC,13,57,58,98.3,12,20,60.0,93,ryan-fitzgerald-1
109,Charlie Ham*,Duke,ACC,10,29,29,100.0,9,15,60.0,56,charlie-ham-1
110,Chase Gabriel,Florida International,CUSA,11,23,24,95.8,7,12,58.3,44,chase-gabriel-1
111,Cory Smigel,Akron,MAC,9,17,18,94.4,7,12,58.3,38,cory-smigel-1
112,Joseph Bulovas,Vanderbilt,SEC,12,34,34,100.0,7,12,58.3,55,joseph-bulovas-1
113,Nick Brown*,Liberty,Ind,13,40,41,97.6,11,19,57.9,73,nick-brown-3
114,Jacob Borcila*,Kansas,Big 12,11,48,48,100.0,7,13,53.8,69,jacob-borcila-1
115,Connor Lytton,Boston College,ACC,11,24,24,100.0,9,17,52.9,51,connor-lytton-1
116,Everett Hayes*,Oregon State,Pac-12,9,33,35,94.3,6,13,46.2,51,everett-hayes-1